Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2017-01-18;829.8;829.81;824.08;829.02;1027698.0;0.0;1.0;829.8;829.81;824.08;829.02;1027698.0
2017-01-19;829.0;832.9999;823.96;824.37;1070454.0;0.0;1.0;829.0;832.9999;823.96;824.37;1070454.0
2017-01-20;829.09;829.24;824.6;828.17;1306183.0;0.0;1.0;829.09;829.24;824.6;828.17;1306183.0
2017-01-23;831.61;845.5428;828.7;844.43;2457377.0;0.0;1.0;831.61;845.5428;828.7;844.43;2457377.0
2017-01-24;846.98;851.52;842.28;849.53;1688375.0;0.0;1.0;846.98;851.52;842.28;849.53;1688375.0
2017-01-25;853.55;858.7936;849.74;858.45;1662148.0;0.0;1.0;853.55;858.7936;849.74;858.45;1662148.0
2017-01-26;859.05;861.0;850.5201;856.98;3493251.0;0.0;1.0;859.05;861.0;850.5201;856.98;3493251.0
2017-01-27;859.0;867.0;841.9;845.03;3752497.0;0.0;1.0;859.0;867.0;841.9;845.03;3752497.0
2017-01-30;837.06;837.23;821.03;823.83;3516933.0;0.0;1.0;837.06;837.23;821.03;823.83;3516933.0
2017-01-31;819.5;823.07;813.4;820.19;2020180.0;0.0;1.0;819.5;823.07;813.4;820.19;2020180.0
2017-02-01;824.0;824.0;812.25;815.24;2251047.0;0.0;1.0;824.0;824.0;812.25;815.24;2251047.0
2017-02-02;815.0;824.56;812.051;818.26;1689179.0;0.0;1.0;815.0;824.56;812.051;818.26;1689179.0
2017-02-03;823.13;826.13;819.35;820.13;1528095.0;0.0;1.0;823.13;826.13;819.35;820.13;1528095.0
2017-02-06;820.92;822.39;814.29;821.62;1350875.0;0.0;1.0;820.92;822.39;814.29;821.62;1350875.0
2017-02-07;825.5;831.92;823.2926;829.23;1666605.0;0.0;1.0;825.5;831.92;823.2926;829.23;1666605.0
2017-02-08;830.53;834.25;825.11;829.88;1302225.0;0.0;1.0;830.53;834.25;825.11;829.88;1302225.0
2017-02-09;831.73;831.98;826.5;830.06;1194238.0;0.0;1.0;831.73;831.98;826.5;830.06;1194238.0
2017-02-10;832.95;837.15;830.51;834.85;1415128.0;0.0;1.0;832.95;837.15;830.51;834.85;1415128.0
